Ticker,AAPL,ACN,ADBE,AMAT,AMD,AVGO,CRM,CSCO,IBM,INTU,KLAC,LRCX,MSFT,MU,NOW,NVDA,ORCL,PANW,QCOM,TXN
AAPL,-0.17232436004760224,-0.1841800066239265,0.00013124755585375292,0.07049332730269384,-0.011817641947501789,0.09833129683763198,-0.07463138409816819,0.32504701217696635,0.04110552527545433,0.022637148464616758,0.001352666017973514,0.029533767067824956,-0.07339655633873116,-0.023735277559905316,-0.13656820103186196,0.12161991393373944,-0.18140754174902635,-0.09424661397195233,0.1681779017353487,0.07387777700057055
ACN,-0.1841800066239265,-0.1385383976210837,0.2435916997790209,-0.09371933565801138,-0.07958923771531705,-0.18214355113440306,0.2640423126969902,-0.15449712673264748,0.19651684854680013,0.22422840164125873,-0.04953294032078706,-0.14676382685680667,0.02142294433743766,-0.2682579473591709,0.28298289657816555,-0.1769286868017469,-0.14628826835147712,0.24448974251710678,0.09444930607804328,0.048715173000553974
ADBE,0.00013124755585375292,0.2435916997790209,-0.227525718485983,-0.3564176021670515,-0.07894832619000411,-0.08448363953401547,0.37162867204241645,-0.13373229522316182,0.19440865674789423,0.4148504747797459,-0.26739726952018966,-0.30520434624464843,0.11182593349365882,-0.2205737804733508,0.360909427174606,-0.11920832244239762,-0.10637060315273035,0.16512968990619764,0.09618451856847077,-0.05879841661433233
AMAT,0.07049332730269384,-0.09371933565801138,-0.3564176021670515,-0.32134045376783277,0.023446743650206603,0.0687681504350014,-0.24857925641073428,0.05492019403847387,-0.18130328564783954,-0.28011189439783996,0.4866179060242862,0.4839853759843151,-0.11345396385991291,0.2896494472516065,-0.24341652331241306,0.07958365237875237,0.11675784614724816,-0.15993303874227585,0.09460548254933576,0.22944722820199043
AMD,-0.011817641947501789,-0.07958923771531705,-0.07894832619000411,0.023446743650206603,-0.2803366121893668,0.09510958439531325,-0.07470963052066293,0.1553854431442429,-0.11263837357620565,-0.15825526659819253,0.0696245273154999,0.04891982026116237,0.13271070864791767,0.22697546673206992,-0.067473857304791,0.13466158109526105,0.04143953747911147,0.012739251694846077,0.014774748007791383,-0.09201846638138231
AVGO,0.09833129683763198,-0.18214355113440306,-0.08448363953401547,0.0687681504350014,0.09510958439531325,-0.3953929915958692,-0.16299070286889344,0.12474903216291511,0.01844948866900567,-0.07943261761191461,-0.00514091876223699,0.05647058153167356,0.010794927669367127,0.09256736902697105,-0.03699902591727222,0.24737133368819741,0.2501692197013825,0.015589182276913749,-0.10590194443220224,-0.025884774537566657
CRM,-0.07463138409816819,0.2640423126969902,0.37162867204241645,-0.24857925641073428,-0.07470963052066293,-0.16299070286889344,-0.33755494712115747,-0.016731420817922227,0.07343407887900569,0.369592982608892,-0.19801117180985933,-0.2846786945879698,0.12712752497958646,-0.18284005653468896,0.4184036631441099,-0.15510409917637646,-0.10428102188605726,0.15151987714119386,0.051243347887612534,0.013119926452683006
CSCO,0.32504701217696635,-0.15449712673264748,-0.13373229522316182,0.05492019403847387,0.1553854431442429,0.12474903216291511,-0.016731420817922227,-0.21192729569739255,0.05156230634964684,-0.05220481319513412,-0.04055130052441924,-0.0017957487324198884,0.05585662923721024,0.02638792579048685,-0.14268585765120462,0.1426727875755665,-0.00986443973985246,-0.08382505830617953,-0.05454250082533893,-0.03422347302983855
IBM,0.04110552527545433,0.19651684854680013,0.19440865674789423,-0.18130328564783954,-0.11263837357620565,0.01844948866900567,0.07343407887900569,0.05156230634964684,-0.10213196012789402,0.17740267460707806,-0.1293104409491394,-0.06396586253657882,-0.03990542946635908,-0.16563933846666407,-0.056497956727604104,0.0034325055221061662,-0.04949594614955993,0.13398197329574288,0.06148711416300259,-0.050892578407892936
INTU,0.022637148464616758,0.22422840164125873,0.4148504747797459,-0.28011189439783996,-0.15825526659819253,-0.07943261761191461,0.369592982608892,-0.05220481319513412,0.17740267460707806,-0.1692169316379192,-0.17207739438211012,-0.30805592541157134,0.1982340181477732,-0.2792175893220445,0.38425104488096584,-0.09049531637885025,-0.1165864521638355,0.0763354303596056,-0.00923761382080665,-0.1526403605697173
KLAC,0.001352666017973514,-0.04953294032078706,-0.26739726952018966,0.4866179060242862,0.0696245273154999,-0.00514091876223699,-0.19801117180985933,-0.04055130052441924,-0.1293104409491394,-0.17207739438211012,-0.3815911096368907,0.4622367424445681,-0.05253049869171089,0.25583216286984223,-0.23018950285944398,0.10024779088333202,0.1027386001794029,-0.12603278055975795,0.05339224549375726,0.1203226867878816
LRCX,0.029533767067824956,-0.14676382685680667,-0.30520434624464843,0.4839853759843151,0.04891982026116237,0.05647058153167356,-0.2846786945879698,-0.0017957487324198884,-0.06396586253657882,-0.30805592541157134,0.4622367424445681,-0.3669533304586047,-0.1115386067349568,0.4162348851381906,-0.3010248259429417,0.12796103672196368,0.10897660134212506,-0.14642862441446472,0.09856773623585957,0.2035232451932779
MSFT,-0.07339655633873116,0.02142294433743766,0.11182593349365882,-0.11345396385991291,0.13271070864791767,0.010794927669367127,0.12712752497958646,0.05585662923721024,-0.03990542946635908,0.1982340181477732,-0.05253049869171089,-0.1115386067349568,-0.42118438274411546,0.014520199902095354,0.20447469755119785,0.11492864142435283,0.06858658340225104,0.11710763424783632,-0.16368243193005497,-0.20189857327484464
MU,-0.023735277559905316,-0.2682579473591709,-0.2205737804733508,0.2896494472516065,0.22697546673206992,0.09256736902697105,-0.18284005653468896,0.02638792579048685,-0.16563933846666407,-0.2792175893220445,0.25583216286984223,0.4162348851381906,0.014520199902095354,-0.27003592757494804,-0.1662476254371804,0.09712152654520484,0.1142256446013874,-0.10479059247924821,0.04381657190050536,0.10400693544883907
NOW,-0.13656820103186196,0.28298289657816555,0.360909427174606,-0.24341652331241306,-0.067473857304791,-0.03699902591727222,0.4184036631441099,-0.14268585765120462,-0.056497956727604104,0.38425104488096584,-0.23018950285944398,-0.3010248259429417,0.20447469755119785,-0.1662476254371804,-0.3683444144491906,-0.0950934992373455,-0.008823999616458633,0.18993204780555584,0.005793939804583814,0.0066175725485217995
NVDA,0.12161991393373944,-0.1769286868017469,-0.11920832244239762,0.07958365237875237,0.13466158109526105,0.24737133368819741,-0.15510409917637646,0.1426727875755665,0.0034325055221061662,-0.09049531637885025,0.10024779088333202,0.12796103672196368,0.11492864142435283,0.09712152654520484,-0.0950934992373455,-0.5052248453025774,0.17378298245380863,-0.018905214457946906,-0.08728989202391646,-0.09513387640112778
ORCL,-0.18140754174902635,-0.14628826835147712,-0.10637060315273035,0.11675784614724816,0.04143953747911147,0.2501692197013825,-0.10428102188605726,-0.00986443973985246,-0.04949594614955993,-0.1165864521638355,0.1027386001794029,0.10897660134212506,0.06858658340225104,0.1142256446013874,-0.008823999616458633,0.17378298245380863,-0.19930181892473486,0.03714883344498637,-0.1083764964893833,0.016970739471411617
PANW,-0.09424661397195233,0.24448974251710678,0.16512968990619764,-0.15993303874227585,0.012739251694846077,0.015589182276913749,0.15151987714119386,-0.08382505830617953,0.13398197329574288,0.0763354303596056,-0.12603278055975795,-0.14642862441446472,0.11710763424783632,-0.10479059247924821,0.18993204780555584,-0.018905214457946906,0.03714883344498637,-0.3546844465043444,-0.009487034256097093,-0.045640258997719285
QCOM,0.1681779017353487,0.09444930607804328,0.09618451856847077,0.09460548254933576,0.014774748007791383,-0.10590194443220224,0.051243347887612534,-0.05454250082533893,0.06148711416300259,-0.00923761382080665,0.05339224549375726,0.09856773623585957,-0.16368243193005497,0.04381657190050536,0.005793939804583814,-0.08728989202391646,-0.1083764964893833,-0.009487034256097093,-0.3935040560750292,0.14952905742851774
TXN,0.07387777700057055,0.048715173000553974,-0.05879841661433233,0.22944722820199043,-0.09201846638138231,-0.025884774537566657,0.013119926452683006,-0.03422347302983855,-0.050892578407892936,-0.1526403605697173,0.1203226867878816,0.2035232451932779,-0.20189857327484464,0.10400693544883907,0.0066175725485217995,-0.09513387640112778,0.016970739471411617,-0.045640258997719285,0.14952905742851774,-0.20899956331982744
