combo_id,gamma,beta,lambda_1,lambda_2,lambda_3
0,9.055407454259694,3.8092426517978315,0.1174928684718907,54.81954975891858,36.32951492918655
1,13.042831856757402,2.218997147213668,7.377289722766727,166.5183124365285,6.101902774255723
2,17.950021721422672,3.3226979751139885,3.26966129783541,34.30589161720127,23.563515199534596
3,4.166700788773596,0.2366448705084622,9.29113734252751,146.39104583021253,43.62299261894077
4,2.2134043062105775,3.0517606033943596,5.1984027062542735,118.7789042070508,45.14463247526437
5,17.51904086023569,1.1201287714764478,2.557416516449303,5.9133667796850204,12.575207362510262
6,12.332697171717882,4.763247360382229,8.233658874966205,194.09411059133708,7.620800352003425
7,7.418374170549214,1.8774278014898302,4.356144556775689,83.17573112808168,25.343973164912313
8,5.947176379151642,3.4707773308269685,8.052889768127352,21.830958945676684,0.6453066584654152
9,11.419546272605658,0.7009908014908434,4.507910734694451,109.1405496057123,32.42909870194271
10,16.01079796254635,4.264018224645406,6.138221762888134,92.07223106175661,38.16953119970858
11,1.3374412069097161,2.3766467515379195,1.3565635390579702,178.99086950719357,19.659963903948665
12,5.636494577862322,4.615095664374531,3.1168876403011385,156.82018194999546,18.038132728636267
13,18.864576622843742,1.41300485720858,9.472918243985623,70.67584779020399,49.038719452172515
14,14.549652066081762,2.596907834708691,1.319131305627525,131.27508421707898,30.803763834480197
15,9.932793241925538,0.9624066443182528,6.436690037697553,43.19118927139789,11.518022397253661
16,9.72947134450078,2.819349107053131,5.043636844679713,189.2972546350211,41.191393134836105
17,14.903806676156819,0.7399755759164691,7.6615766363218425,78.67039093934,23.070525238011033
18,19.811576374806464,4.53143415460363,1.8910906127654017,123.7231371179223,3.862470896542072
19,4.840184845030308,1.4966766074299813,5.748107704240828,10.371771708130836,35.25451342537999
20,1.690690852701664,4.194705548323691,9.86227470599115,26.278117670677602,27.39358097650111
21,15.808238335885108,2.4459517429582776,2.581905093975365,138.84909986611456,8.495781986042857
22,10.622474481351674,3.7075625810772186,6.827245572861284,62.70303069520742,15.212335067708045
23,6.895080883055925,0.4641974647529423,0.7829497230239213,174.11027760524303,45.8219381515868
24,7.809310760349035,4.995259082131088,6.983694064617157,136.09777413774282,20.73657448878512
25,12.092450601048768,1.6454265757463875,0.6555060779675841,47.72236342448741,40.40735399639234
